p,ford,fI,fII
100722001,2274,259,120
100722169,2610,303,132
100722241,2154,231,128
100723081,2526,287,134
100724089,2514,281,138
100724761,2196,246,120
100725241,2952,334,158
100725409,2352,276,116
100725529,2292,286,96
100726441,1992,225,107
100727041,2214,263,106
100727089,2172,262,100
100727929,2178,237,126
100728769,2706,308,143
100729729,2664,323,121
100729801,2262,277,100
100729969,3510,397,188
100730449,2430,273,132
100731289,2988,335,163
100732321,3210,373,162
100732969,2406,284,117
100733641,2538,297,126
100734169,2628,283,155
100736161,2298,254,129
100736281,2328,270,118
100737961,2424,272,132
100738201,2286,262,119
100740361,3006,323,178
100742041,2214,254,115
100742209,2364,269,125
100742401,3030,348,157
100743001,2370,275,120
100744009,2598,309,124
100744561,2478,292,121
100744681,2850,336,139
100745761,2088,228,120
100746241,2706,316,135
100747249,2202,258,109
100747921,1848,205,103
100748041,2274,271,108
100748209,1854,196,113
100748281,2562,318,109
100748449,2460,273,137
100749601,2682,313,134
100750609,2640,324,116
100750729,2802,340,127
100750801,3408,403,165
100751449,3030,347,158
100753249,1776,196,100
100753321,2028,234,104
100753489,2472,287,125
100753921,2382,290,107
100754761,2610,317,118
100755001,2568,280,148
100755769,2340,261,129
100756441,2880,317,163
100756681,1962,220,107
100757689,2592,307,125
100758001,2250,264,111
100760521,2580,310,120
100761049,1686,201,80
100761481,2388,278,120
100762489,2058,227,116
100764409,2004,227,107
100764889,2076,242,104
100765849,2724,317,137
