p,ford,fI,fII
1000680601,3870,454,191
1000681249,3414,377,192
1000682041,3612,422,180
1000682281,3222,334,203
1000683961,3612,438,164
1000685641,3774,430,199
1000686121,3630,432,173
1000686649,2976,323,173
1000687081,3336,360,196
1000687321,4272,500,212
1000687489,3888,442,206
1000687921,3696,430,186
1000688329,3444,392,182
1000688809,3774,412,217
1000692169,3084,357,157
1000692961,3552,428,164
1000694209,3390,398,167
1000694689,3552,429,163
1000694809,3684,399,215
1000696729,4494,520,229
1000698889,3216,357,179
1000699009,4182,508,189
1000700401,3708,446,172
1000702081,3180,353,177
1000702201,2670,286,159
1000702369,4674,551,228
1000702441,4044,483,191
1000702609,3168,363,165
1000704049,4230,500,205
1000704121,4032,458,214
1000704889,3636,403,203
1000705609,4032,483,189
1000705729,2808,318,150
1000706401,3864,460,184
1000706569,3408,404,164
1000706809,3654,460,149
1000707289,3894,472,177
1000708129,3246,377,164
1000708801,4392,528,204
1000708921,3372,410,152
1000710481,2400,280,120
1000711441,2910,345,140
1000712281,3912,461,191
1000712329,3720,444,176
1000717369,4164,480,214
1000718401,3684,416,198
1000720681,3390,368,197
1000720849,4758,578,215
1000722361,4074,469,210
1000722409,3366,414,147
1000722769,3870,452,193
1000723081,3474,425,154
1000726609,2904,345,139
1000726801,3984,467,197
1000727281,3120,372,148
1000727569,3282,361,186
1000727809,3720,459,161
1000728481,3084,368,146
1000728649,3960,471,189
1000728961,2946,347,144
1000729489,3744,451,173
1000729801,4044,496,178
1000730761,3318,411,142
1000731481,4410,515,220
1000731601,2640,328,112
1000731841,3354,401,158
1000732009,3834,449,190
1000732321,3756,448,178
1000733329,3420,392,178
1000733521,3960,477,183
1000734169,4884,618,196
1000734289,3696,403,213
1000734841,3396,408,158
1000736689,3354,382,177
1000736809,3492,390,192
1000736881,3180,369,161
1000737649,3126,362,159
1000738369,3528,413,175
1000738729,3258,380,163
1000739041,3024,322,182
1000739401,3612,397,205
1000740001,3360,387,173
1000740049,3474,400,179
1000740409,3840,454,186
1000740889,3594,432,167
1000741081,3636,441,165
1000741921,4662,541,236
1000742761,3906,471,180
1000743361,4134,487,202
1000743529,4278,454,259
1000743769,3468,379,199
1000744249,4212,507,195
1000745089,3258,395,148
1000746121,4056,450,226
1000747129,4068,474,204
1000747441,3048,329,179
1000747609,3888,451,197
1000748569,3480,419,161
1000749241,4188,512,186
1000749289,3258,370,173
1000749649,3186,343,188
1000750321,3264,362,182
1000750801,4296,514,202
1000750969,3282,382,165
1000751761,3342,410,147
1000752769,3288,383,165
1000753609,4518,565,188
1000753849,3426,406,165
1000755121,3900,457,193
1000755841,3492,396,186
1000756129,3852,455,187
1000758529,3120,360,160
1000759321,4020,461,209
1000759561,3270,396,149
1000759729,3708,447,171
1000760161,2946,348,143
1000760209,4404,550,184
1000760401,2688,299,149
1000761721,2940,351,139
1000761889,3756,396,230
1000762249,3846,447,194
1000762849,3084,326,188
1000763521,3198,360,173
1000763689,4002,479,188
1000764361,3738,425,198
1000764529,4404,503,231
