p,ford,fI,fII
100095577,3426,418,153
100095601,2790,321,144
100095649,2802,320,147
100095769,2856,327,149
100095817,3636,416,190
100095913,2832,349,123
100096393,3462,394,183
100096441,2094,244,105
100096537,3390,410,155
100096753,2958,361,132
100096849,3270,389,156
100096873,3852,460,182
100097017,3426,419,152
100097497,3396,398,168
100097521,3030,358,147
100098073,2790,333,132
100098409,3024,355,149
100098529,3288,401,147
100098577,3198,371,162
100098793,3174,396,133
100098937,2586,308,123
100099057,3822,459,178
100099177,3498,424,159
100099513,3708,468,150
100099537,2820,331,139
100099609,2004,235,99
100099777,3300,382,168
100099921,3090,365,150
100099969,3042,374,133
100100089,2484,298,116
100100353,3006,359,142
100100401,2130,248,107
100100713,2922,341,146
100100857,3828,473,165
100101073,2874,353,126
100101097,5958,690,303
100101121,2340,272,118
100101193,3180,351,179
100101217,4128,544,144
100101241,2820,326,144
100101289,2568,295,133
100101553,3684,452,162
100101601,2172,258,104
100101913,4962,675,152
100101961,2256,269,107
100102081,2484,289,125
100102129,2058,226,117
100102777,4056,479,197
100102801,2916,340,146
100102993,2496,278,138
100103137,4152,486,206
100103281,2982,359,138
100103329,3120,364,156
100103401,2736,320,136
100103593,3498,443,140
100103617,3534,415,174
100103881,2490,286,129
100103953,3954,466,193
100104241,2862,335,142
100104337,2526,290,131
100104409,3378,426,137
100104457,3876,470,176
100104481,1644,190,84
100104601,2298,263,120
100104937,3492,432,150
100105009,2226,250,121
100105249,2196,241,125
100105297,3756,432,194
100105321,2508,292,126
100105657,3294,389,160
100105777,2328,276,112
100105921,2820,336,134
100106089,2808,318,150
100106137,2814,326,143
100106641,3000,361,139
100107097,2838,333,140
100107433,3096,384,132
100107529,2526,298,123
100107673,3246,386,155
100107793,3456,407,169
100107841,2394,282,117
100107961,3150,365,160
100108033,2478,279,134
100108249,3294,384,165
100108513,3066,383,128
100108537,2802,337,130
100108969,2076,229,117
100108993,2724,333,121
100109089,3126,373,148
100109257,2604,334,100
100109641,2190,240,125
100109809,3222,380,157
100109857,3480,404,176
100110121,3012,350,152
100110193,2970,349,146
100110289,3048,396,112
100110337,2664,328,116
100110817,2640,312,128
100110961,2544,298,126
100111273,3180,380,150
100111321,2226,243,128
100111441,2316,278,108
100111537,2340,287,103
100111681,2838,335,138
100111897,3120,354,166
100112161,3294,430,119
100112281,4050,481,194
100112329,2334,270,119
100112401,1980,223,107
100112497,2532,299,123
100112809,2436,265,141
100112953,3474,408,171
100113001,2094,237,112
100113049,1968,227,101
100113241,3498,438,145
100113313,3456,423,153
100113361,2730,304,151
100113553,2646,305,136
100113577,3252,388,154
100113721,2676,314,132
100113817,2904,346,138
100113961,3234,356,183
100114081,2508,292,126
100114393,2772,327,135
100114633,2574,308,121
100114801,2274,260,119
100114897,3072,377,135
100115017,3450,427,148
100115209,2844,342,132
100115233,3042,374,133
100115473,3000,349,151
100115641,2940,350,140
100115929,3054,334,175
